Rank,Name,Symbol,Price (USD),Market Cap,Vol (24H),Total Vol,Chg (24H),Chg (7D),Dataset Availability
88,Gnosis,GNO,165.95,$427.53M,$5.00M,0.01%,-0.11%,-8.83%,True
89,Fei USD,FEI,0.9949,$420.01M,$23.33M,0.03%,+0.57%,+0.19%,True
90,NEM,XEM,0.04618,$414.76M,$11.88M,0.02%,+0.36%,-12.91%,True
91,Celsius,CEL,1.5768,$413.00M,$27.47M,0.04%,-19.53%,-39.27%,True
92,1inch,1INCH,0.708,$409.63M,$49.10M,0.07%,+1.43%,-14.45%,True
93,Celo,CELO,0.897,$409.12M,$14.69M,0.02%,-2.07%,-16.45%,True
94,Decred,DCR,28.46,$407.58M,$2.07M,0%,-1.55%,-11.91%,True
95,Arweave,AR,12.12,$404.19M,$21.00M,0.03%,-3.12%,-12.65%,True
96,Holo,HOT,0.002192,$379.69M,$17.38M,0.02%,-0.74%,-20.37%,True
97,Gala,GALA,0.05338,$371.82M,$203.51M,0.29%,-0.21%,-21.03%,True
98,Compound,COMP,51.15,$370.50M,$147.90M,0.21%,+1.55%,-16.76%,True
99,Qtum,QTUM,3.4749,$362.55M,$46.50M,0.07%,+1.01%,-14.93%,True
100,Convex Finance,CVX,5.35,$358.00M,$21.67M,0.03%,+1.52%,-19.65%,True
